Date,EM FAR EAST SMALL CAP
1994-05,1260.901967550696
1994-06,1241.562399955784
1994-07,1274.3345663249754
1994-08,1439.0691846854043
1994-09,1520.0273177579404
1994-10,1491.8267418846672
1994-11,1371.163310131386
1994-12,1340.3178995452145
1995-01,1157.3894771295431
1995-02,1248.0072467766586
1995-03,1220.0111540710848
1995-04,1160.0043894272135
1995-05,1253.5105636688795
1995-06,1277.3153447450227
1995-07,1326.1709371933814
1995-08,1278.1253791827585
1995-09,1240.4216350655693
1995-10,1158.1444738704884
1995-11,1120.8456121094716
1995-12,1159.5924362512424
1996-01,1251.885783058449
1996-02,1255.8901124217423
1996-03,1312.65167840512
1996-04,1466.286175621862
1996-05,1390.2081214121508
1996-06,1386.980069055627
1996-07,1306.9912404308063
1996-08,1364.3912545632406
1996-09,1409.5549601681826
1996-10,1386.0485802411865
1996-11,1392.9411741508181
1996-12,1357.6595109196614
1997-01,1444.3734978751802
1997-02,1565.926606910219
1997-03,1536.1545438351475
1997-04,1422.8984851605685
1997-05,1378.4309793244154
1997-06,1368.6011263513626
1997-07,1288.3817885959274
1997-08,1031.4428297951663
1997-09,956.4189717828494
1997-10,727.7236640796401
1997-11,584.5576662776085
1997-12,481.4316328444778
1998-01,449.31616574451635
1998-02,595.4160833181281
1998-03,603.2688915235426
1998-04,519.4398591895863
1998-05,447.30777276225393
1998-06,385.03079825502857
1998-07,387.53452746751896
1998-08,322.2017758734624
1998-09,337.2071242240952
1998-10,396.285590016922
1998-11,470.8508429028241
1998-12,493.0443071759667
1999-01,483.9376195882089
1999-02,452.6346109949788
1999-03,500.53529794019346
1999-04,642.342216215329
1999-05,629.1105413338472
1999-06,709.1312697259921
1999-07,672.7396315842545
1999-08,640.0345268369488
1999-09,568.9163176596893
1999-10,589.75456008293
1999-11,593.7340783902248
1999-12,599.431914789159
2000-01,621.2294529363952
2000-02,590.1455773857076
2000-03,596.5007784511396
2000-04,526.9757970166057
2000-05,479.2659724997023
2000-06,457.2412769082775
2000-07,437.7850204948185
