Date,EASEA INDEX (EAFE ex JAPAN) SMALL CAP
2000-12,100.0
2001-01,104.70132902479999
2001-02,101.01752137753884
2001-03,91.44635294881701
2001-04,97.1852113120416
2001-05,97.31952821953548
2001-06,94.35047165919474
2001-07,92.6287204631443
2001-08,93.52329239317557
2001-09,78.90111024876146
2001-10,84.05935689564807
2001-11,90.45986783383533
2001-12,92.00661572231755
2002-01,91.36716952790341
2002-02,91.74338511189029
2002-03,97.65284753946291
2002-04,100.17047252689075
2002-05,102.31748424894491
2002-06,98.86488950176444
2002-07,89.09625016491911
2002-08,88.44167108853647
2002-09,79.83248593854924
2002-10,82.8163457316014
2002-11,86.04792405644295
2002-12,84.59058045518896
2003-01,83.08099531211742
2003-02,80.21545713291472
2003-03,80.17075928499173
2003-04,90.29380541835272
2003-05,99.74248668859435
2003-06,102.52319691532666
2003-07,106.68095636304201
2003-08,110.73590945166823
2003-09,116.65700462023547
2003-10,126.33074768029378
2003-11,130.0350003047461
2003-12,137.3780061407888
2004-01,145.23163925040706
2004-02,151.3219853102949
2004-03,148.68184440286365
2004-04,144.35608662978316
2004-05,144.56772177366508
2004-06,148.68009434825066
2004-07,144.97053591233234
2004-08,145.79369568611156
2004-09,153.28216474478495
2004-10,160.411058
2004-11,175.84464584680177
2004-12,184.74885502048946
2005-01,187.25829772517207
2005-02,196.55870298162995
2005-03,192.26061815694902
2005-04,186.57786413718773
2005-05,188.27096428797842
2005-06,194.64517438254978
2005-07,205.05382353837092
2005-08,210.4907649378966
2005-09,217.01546613727584
2005-10,204.36189648005765
2005-11,209.83645358442752
2005-12,219.52133670733122
2006-01,239.85486362586315
2006-02,245.02849875624548
2006-03,257.4324007651212
2006-04,274.51505200058386
2006-05,262.40885757242137
2006-06,258.1140593894381
2006-07,256.6276297328642
2006-08,264.03518341759906
2006-09,268.6006419957205
2006-10,284.12895715682265
2006-11,303.10435765720064
2006-12,316.85786866682645
2007-01,323.6944508696153
2007-02,326.03843729523567
2007-03,342.57844488565615
2007-04,363.2923317282701
2007-05,370.53067057916934
2007-06,368.57304343125526
2007-07,366.6753251026412
2007-08,349.23645261440305
2007-09,355.6456232763404
2007-10,381.6144129045615
2007-11,349.7109519683011
2007-12,340.5607833295502
2008-01,301.977875510212
2008-02,318.1865326304036
2008-03,316.9238092359185
2008-04,325.8528645167066
2008-05,330.1355380711354
2008-06,300.84308836916216
2008-07,285.74612127860945
2008-08,275.41408055639425
2008-09,220.8104438073427
2008-10,156.30087177545406
2008-11,142.32682033302973
2008-12,151.28569171702765
2009-01,140.54571151697618
2009-02,130.88744053560387
2009-03,141.71037199000747
2009-04,171.59126011890186
2009-05,197.7815466236983
2009-06,197.889603527984
2009-07,217.70829777731322
2009-08,237.65283862767282
2009-09,254.91113663422774
2009-10,252.3107450381417
2009-11,255.72003844692568
2009-12,260.0438289969165
2010-01,254.70939229486044
2010-02,248.19121195243218
2010-03,268.99051181987386
2010-04,272.7769897504475
2010-05,233.57517062218338
2010-06,231.89434434658352
2010-07,258.69195972261326
2010-08,250.5186938185656
2010-09,285.77064729851276
2010-10,301.2701943898054
2010-11,285.2819548413181
2010-12,320.0032422576709
2011-01,322.1404164247687
2011-02,327.59166780655323
2011-03,334.10976044889867
2011-04,357.2555596478325
2011-05,347.41433047516995
2011-06,335.9502113652948
2011-07,326.6072171396149
2011-08,294.9193460481056
2011-09,252.50825257050386
2011-10,283.16817429763245
2011-11,264.8870381812944
2011-12,256.1122736568574
2012-01,281.8873675587905
2012-02,304.4633651342637
2012-03,301.8492179991649
2012-04,301.74008635078377
2012-05,262.51386691271057
2012-06,273.0191346091683
2012-07,276.30157269369505
2012-08,287.3963024759215
2012-09,303.09551631999096
2012-10,309.1793706335162
2012-11,312.44826059654656
2012-12,326.56426082717263
2013-01,345.39431976447975
2013-02,346.5063491267407
2013-03,345.5260665784147
2013-04,354.22934100797977
2013-05,354.4105564533151
2013-06,336.97707927222615
2013-07,363.5769869277188
2013-08,365.2050450972582
2013-09,394.6821823824321
2013-10,411.96987065718787
2013-11,415.5388911060188
2013-12,427.7186069214833
2014-01,419.2537261659917
2014-02,454.53771805906166
2014-03,451.1200448504739
2014-04,449.33538971980084
2014-05,453.2710399960195
2014-06,451.346892968534
2014-07,435.8752636655874
2014-08,436.0733471737847
2014-09,408.887937372813
2014-10,401.9507925799571
2014-11,405.23981173087896
2014-12,400.56840390553566
2015-01,396.08915371482243
2015-02,426.617818412972
2015-03,417.22812113504534
2015-04,441.4732669105976
2015-05,446.30058613288344
2015-06,435.77086743892437
2015-07,441.86574381465226
2015-08,420.6711563207749
2015-09,406.9710538348727
2015-10,430.16527433699446
2015-11,428.0348118314264
2015-12,431.06333273202716
2016-01,394.3907907584316
2016-02,395.59440961914106
2016-03,430.59660514635584
2016-04,437.0078431962524
2016-05,440.777578907072
2016-06,408.52749144788635
2016-07,435.1174553158755
2016-08,438.69566176150624
2016-09,447.05620552375296
2016-10,425.8160598833889
2016-11,417.88163292490015
