Date,FM GCC COUNTRIES DOMESTIC SMALL CAP
2014-05,1000.0
2014-06,970.2982248081807
2014-07,990.9495882993718
2014-08,1018.6255025886197
2014-09,1029.9748111158906
2014-10,977.5771673524089
2014-11,943.7720272067551
2014-12,887.9410982311491
2015-01,890.2834539928666
2015-02,891.0318779938792
2015-03,853.2259487000484
2015-04,866.0220309048103
2015-05,855.1281627235244
2015-06,843.6375950399489
2015-07,852.0509937442467
2015-08,786.0129871853175
2015-09,784.8686812293291
2015-10,803.1530531999359
2015-11,802.6204607550274
2015-12,782.1926399249182
2016-01,724.3097356627185
2016-02,754.4664850063019
2016-03,794.2271282357201
2016-04,836.2153723504167
2016-05,816.5198417211296
2016-06,816.8388591166566
2016-07,813.0726486869773
2016-08,788.9557390411127
2016-09,783.6903854465038
2016-10,787.024047504514
2016-11,785.8535261665196
2016-12,830.5279619562536
2017-01,893.4351328909614
2017-02,891.1090001269531
2017-03,861.6094080571713
2017-04,859.924267
2017-05,844.367331
2017-06,833.177198
2017-07,860.35241
2017-08,842.936227
2017-09,842.973209
2017-10,823.188133
2017-11,805.073635
2017-12,828.406448
2018-01,841.294679
2018-02,829.9146
2018-03,822.939736
2018-04,820.8388008734973
2018-05,805.1787523446535
2018-06,818.0544333624517
2018-07,826.0118760722104
2018-08,815.162396991989
2018-09,797.0006947136205
2018-10,767.5117387214584
2018-11,782.1438294064278
2018-12,776.2532439608658
2019-01,768.5373041057576
2019-02,756.2577776183432
2019-03,789.8639152487806
2019-04,822.4583217438515
2019-05,831.0718204563676
2019-06,837.2382689096637
2019-07,859.1529486664066
2019-08,832.2676386905569
2019-09,817.6250851448754
2019-10,825.480900367967
2019-11,843.7910209998911
2019-12,843.6809385420961
2020-01,849.3230930222464
2020-02,827.4479215725024
2020-03,617.1914643927252
2020-04,665.895915766661
2020-05,660.7391282476735
2020-06,684.2705064293062
2020-07,670.6614182736301
2020-08,673.324834821375
2020-09,691.8184859359028
2020-10,700.6551054739111
2020-11,719.6032609830959
2020-12,723.3076538729981
2021-01,716.7495092298468
2021-02,707.0651006798271
2021-03,724.3360741909448
2021-04,740.577459207858
2021-05,759.3893781801338
2021-06,807.1556605049425
2021-07,800.4541928833938
2021-08,805.4125202505395
2021-09,799.7536675495605
2021-10,848.4109637383033
2021-11,880.4657826351001
2021-12,952.7473215931044
2022-01,943.9981610418909
2022-02,923.6006129777762
2022-03,972.081398029127
2022-04,988.5586734713838
2022-05,949.6993803709437
2022-06,919.625056131378
2022-07,1007.7327468680618
2022-08,1033.0703948992789
2022-09,994.9816839900824
2022-10,965.4087751344341
2022-11,1014.945138501615
2022-12,1028.8577479564588
2023-01,1027.0433790029474
2023-02,1028.2428900032464
2023-03,1052.0053280546877
2023-04,1117.0802592307828
2023-05,1170.536327309836
2023-06,1215.0865517828286
2023-07,1303.85015851516
