Date,EM EASTERN EUROPE ex RUSSIA SMALL CAP
2007-05,1000.0
2007-06,1054.8201774652277
2007-07,973.9150844025205
2007-08,908.5306917563522
2007-09,955.1780120037363
2007-10,1012.1916032542963
2007-11,900.2577447544568
2007-12,918.7940341280038
2008-01,809.3895334056855
2008-02,851.0623313007591
2008-03,855.2205046839533
2008-04,824.9831272709331
2008-05,810.9451830135331
2008-06,708.9214740295055
2008-07,688.693774823958
2008-08,619.2660022305748
2008-09,526.0209364021906
2008-10,343.1831369902305
2008-11,314.1628500246345
2008-12,297.80810917842416
2009-01,246.3983616641172
2009-02,209.96426175555695
2009-03,251.402776635968
2009-04,316.51179482
2009-05,349.56594585445515
2009-06,360.84003034139283
2009-07,431.25592204451334
2009-08,517.6679457190596
2009-09,508.8366674771962
2009-10,482.00756023846526
2009-11,499.9815900050992
2009-12,491.92288361328434
2010-01,489.154623791799
2010-02,482.3962696472349
2010-03,546.1044687398633
2010-04,548.0152678391669
2010-05,457.76694166835324
2010-06,429.9232499161709
2010-07,508.1069860763173
2010-08,498.4481768648641
2010-09,565.8552114719706
2010-10,594.0650945028757
2010-11,526.9966035617178
2010-12,565.1818715809574
2011-01,592.997251719941
2011-02,604.7255831883178
2011-03,616.4286076782163
2011-04,677.075610159817
2011-05,634.0153064598791
2011-06,610.5265017546461
2011-07,565.5465217827481
2011-08,481.42121609856673
2011-09,372.5375851043495
2011-10,427.8907080300528
2011-11,382.61513964380384
2011-12,360.48552664380554
2012-01,418.25020618630526
2012-02,445.64853999816114
2012-03,433.02915083814025
2012-04,421.4384727406045
2012-05,352.3388921642698
2012-06,377.4331985631161
2012-07,371.83914286982434
2012-08,370.6871673810604
2012-09,413.52614899970723
2012-10,412.0295424819565
2012-11,421.06378283830276
2012-12,457.67159815296674
2013-01,455.98651821322835
2013-02,432.42004775202753
2013-03,400.8423979557543
2013-04,397.99859217590256
2013-05,426.04125374043167
2013-06,401.66240367362974
2013-07,437.38673536246034
2013-08,449.12377864616417
2013-09,492.122521136301
2013-10,532.2723123166811
2013-11,546.8558478099063
2013-12,535.1832831661732
2014-01,519.8526284091367
2014-02,563.4891118703223
2014-03,539.4518896861523
2014-04,544.5090033397513
2014-05,528.090484016281
2014-06,532.7366507190984
2014-07,499.8294868349015
2014-08,488.11163993091884
2014-09,491.0751382792511
2014-10,486.9824115566848
2014-11,496.6576657836354
2014-12,451.3390307905703
2015-01,453.99994131183416
2015-02,463.73353277172504
2015-03,455.42996161911867
2015-04,481.44188281475
2015-05,469.0484145318811
2015-06,443.43426943697784
2015-07,465.0982856570585
2015-08,444.4550858663179
2015-09,450.2319036179396
2015-10,451.31777707130556
2015-11,420.1964972999529
2015-12,422.6021173655362
2016-01,389.1492172271488
2016-02,409.6685911452077
2016-03,446.16605896799877
2016-04,444.6928117712667
2016-05,412.45341751187885
2016-06,399.0069727416337
2016-07,439.3849382073866
2016-08,481.1437644421934
2016-09,508.0069225734223
2016-10,511.9443553630345
2016-11,493.551851309289
2016-12,516.6034255997755
2017-01,579.744030402001
2017-02,601.6218477571923
2017-03,618.4224839984944
2017-04,649.384444
2017-05,669.379508
2017-06,704.185419
2017-07,743.66756
2017-08,755.114463
2017-09,758.640396
2017-10,741.806726
2017-11,727.675698
2017-12,738.396463
2018-01,767.132112
2018-02,696.386081
2018-03,675.890408
2018-04,670.5237131870637
2018-05,630.0488517318813
2018-06,575.4102660130794
2018-07,607.3932075486916
2018-08,587.5633125946147
2018-09,557.6446995442733
2018-10,523.8748125810861
2018-11,550.3545021816007
2018-12,546.0170280087938
2019-01,589.3587827621486
2019-02,591.0303705892428
2019-03,571.2559941274013
2019-04,565.4295216938546
2019-05,547.8575358564766
2019-06,606.8192472005007
2019-07,577.4391117436261
2019-08,547.3324296434969
2019-09,514.1023993464764
2019-10,541.5998854765916
2019-11,551.3671086641647
2019-12,582.1537533786694
2020-01,552.6866347035232
2020-02,473.6528922230213
2020-03,390.2061293965644
2020-04,462.47420135617676
2020-05,490.25204638892876
2020-06,519.8360677200905
2020-07,548.1862665822249
2020-08,566.7318667850394
2020-09,533.4429336135657
2020-10,465.49779908530024
2020-11,576.5304731178179
2020-12,637.3663442642621
2021-01,654.1834493258145
2021-02,683.0462540132091
2021-03,639.692079542664
2021-04,704.5705710738242
2021-05,809.2197875023389
2021-06,780.8559628619612
2021-07,787.9061200854832
2021-08,849.4519501407998
2021-09,829.0473684718776
2021-10,895.8781611971341
2021-11,789.8322979991377
2021-12,803.2989072493199
2022-01,755.5842828117846
2022-02,678.9192617207082
2022-03,745.988344490412
2022-04,655.665977064055
2022-05,688.3597116225102
2022-06,631.245268061838
2022-07,615.8926426341494
2022-08,585.6315898973617
2022-09,496.5949403168072
2022-10,550.8278106883117
2022-11,644.1073449212929
2022-12,678.1657115852922
2023-01,747.9913409752925
2023-02,711.0258945628871
2023-03,723.3725058329007
2023-04,805.5498645831417
2023-05,771.522261144128
2023-06,855.5844791441576
2023-07,971.6447627328683
