Date,AC FAR EAST SMALL CAP
1994-05,973.3965850756053
1994-06,1046.4584618011224
1994-07,1022.4711820675175
1994-08,1022.2164059763631
1994-09,995.560944039038
1994-10,1005.7199783156684
1994-11,923.6222644318026
1994-12,938.0683986402474
1995-01,887.3436078166934
1995-02,844.801752454259
1995-03,882.5216398295427
1995-04,889.5913496161697
1995-05,839.1932839134782
1995-06,808.2192396056843
1995-07,859.3268694534479
1995-08,842.1953091831411
1995-09,828.6217821201669
1995-10,793.9458474298403
1995-11,822.4948058539419
1995-12,867.4685066895862
1996-01,889.1706311195582
1996-02,879.9490745565392
1996-03,900.3755871859626
1996-04,988.0332781965111
1996-05,951.3768597915908
1996-06,950.9974802037464
1996-07,898.3690282906958
1996-08,878.6290098453061
1996-09,877.080579189078
1996-10,835.2714323986613
1996-11,821.6198560069533
1996-12,758.4227212030662
1997-01,720.2801334670743
1997-02,732.5068312100537
1997-03,692.1404846364434
1997-04,671.1497878235504
1997-05,737.0087288050111
1997-06,753.2462008814372
1997-07,698.7805485118829
1997-08,618.5374418584892
1997-09,556.6030783428504
1997-10,498.9603617741264
1997-11,423.0511266826815
1997-12,365.03141299223694
1998-01,400.47609542333134
1998-02,446.8544017588293
1998-03,421.4993429338005
1998-04,396.4075441971137
1998-05,366.5157601128173
1998-06,354.1029785779744
1998-07,348.56575062722237
1998-08,311.2645814226117
1998-09,307.5190381093435
1998-10,354.5528698631556
1998-11,388.16808497627716
1998-12,398.95471846192277
1999-01,396.68279026355003
1999-02,391.69349490070755
1999-03,441.74263196911085
1999-04,504.53946685715994
1999-05,485.2529370883878
1999-06,559.6997571222353
1999-07,582.2586162881995
1999-08,598.6892166242742
1999-09,605.8640459595396
1999-10,604.0896789130476
1999-11,604.8628466619817
1999-12,582.502336529662
2000-01,580.2291841850987
2000-02,567.1645340450473
2000-03,602.7762296526739
2000-04,541.0865999077978
2000-05,532.617100220224
2000-06,569.7860730100797
2000-07,515.3093180579294
2000-08,542.4466675106105
2000-09,502.52003778373836
2000-10,453.0406472212026
2000-11,447.8916986434224
2000-12,417.6250954155482
2001-01,434.1387592127185
2001-02,439.4681638920283
2001-03,421.11907593054644
2001-04,450.1537386272035
2001-05,462.84834837227817
2001-06,452.35686595548503
2001-07,421.33960211781675
2001-08,425.3479868330728
2001-09,385.9047060455628
2001-10,396.8451279420095
2001-11,396.2985829156112
2001-12,381.34327134508635
2002-01,380.97198297292874
2002-02,393.1031862265673
2002-03,418.4177447120412
2002-04,433.47881363841105
2002-05,454.75741493210734
2002-06,434.43394224046506
2002-07,421.6449840900373
2002-08,413.5633172533419
2002-09,387.1376551940006
2002-10,369.7428302270687
2002-11,376.0777203704992
2002-12,367.9879093921883
2003-01,369.211555473071
2003-02,375.92363045592873
2003-03,368.54528023980424
2003-04,379.3304907766657
2003-05,404.0190930213312
2003-06,433.35184347765147
2003-07,447.60770163771355
2003-08,486.0057495407677
2003-09,515.8324002567886
2003-10,550.9845229905052
2003-11,524.099415115356
2003-12,555.3422376141567
2004-01,579.0408486545543
2004-02,586.8234014997194
2004-03,661.3132532588492
2004-04,639.3784368357695
2004-05,608.7087789053022
2004-06,647.0283331296696
2004-07,603.3134293848868
2004-08,612.4641664961038
2004-09,606.7974968279311
2004-10,615.4900944447727
2004-11,649.5750864893239
2004-12,679.1661338890234
2005-01,696.210974496263
2005-02,721.9616323260752
2005-03,712.1309289771084
2005-04,701.9170614444175
2005-05,695.2903204706018
2005-06,710.8480641914098
2005-07,729.0537456013055
2005-08,739.0196944462307
2005-09,777.861304334402
2005-10,776.6382503860937
2005-11,812.7639874170027
2005-12,893.607207319907
2006-01,932.1989904213501
2006-02,898.1945857915557
2006-03,933.3621707768816
2006-04,961.2160341166873
2006-05,900.7071367946461
2006-06,868.561658341323
2006-07,837.8834481519125
2006-08,856.2576978135635
2006-09,858.0315963201717
2006-10,865.0267839351773
2006-11,892.5712303648033
2006-12,906.5884983370917
2007-01,915.3683521570804
2007-02,952.1383638154728
2007-03,962.0708649329766
2007-04,973.2765648852003
2007-05,1000.0
2007-06,1022.6755532738762
2007-07,1067.0519462966565
2007-08,1012.484776851355
2007-09,1044.3343301038933
2007-10,1079.4029686748136
2007-11,1007.3761813884065
2007-12,972.1512622433257
2008-01,889.2471568009347
2008-02,926.2490886208617
2008-03,905.7815511457692
2008-04,929.8646903675059
2008-05,940.352017640616
2008-06,861.3065591284693
2008-07,829.3601305244155
2008-08,775.4829776450567
2008-09,667.0431043677689
2008-10,547.8494125618786
2008-11,554.2645975605844
2008-12,612.6872930529559
2009-01,581.0028348954146
2009-02,525.9497210507375
2009-03,567.2396307528794
2009-04,632.8089880404884
2009-05,742.0488603649295
2009-06,759.6245367649697
2009-07,814.1483567253889
2009-08,828.4469330629718
2009-09,854.7075579817671
2009-10,842.645004461673
2009-11,840.4236129654794
2009-12,860.7979812056744
2010-01,847.2840466014011
2010-02,859.379885043661
2010-03,916.6660291569185
2010-04,939.3177307446987
2010-05,858.2048382336454
2010-06,867.1707186293902
2010-07,901.9373367587791
2010-08,891.7339478266161
2010-09,966.1146817781089
2010-10,980.1470962806674
2010-11,984.8727581825962
2010-12,1058.8998277174496
2011-01,1065.0417910052333
2011-02,1056.612564361419
2011-03,1045.6429026995684
2011-04,1069.382606480377
2011-05,1051.063640553774
2011-06,1054.1137655186044
2011-07,1091.3617069818156
2011-08,1007.6095275252158
2011-09,921.2450940008586
2011-10,948.5539147499495
2011-11,899.7576770997667
2011-12,906.5280751546906
2012-01,963.8863193592804
2012-02,1011.7110354335656
2012-03,1006.5127318128623
2012-04,991.6201036577274
2012-05,914.4687589851678
2012-06,941.121946753091
2012-07,935.0395676161841
2012-08,944.6032141247422
2012-09,985.3452583186075
2012-10,969.9107915750022
2012-11,986.7401343696869
2012-12,1020.5915130468263
2013-01,1058.9992851792695
2013-02,1092.4114251924589
2013-03,1140.3504281800458
2013-04,1191.3001933629077
2013-05,1153.6589755926618
2013-06,1100.6254582372746
2013-07,1118.1709917252247
2013-08,1100.0779226010663
2013-09,1195.6889523063135
2013-10,1206.2331463703263
2013-11,1196.184648699727
2013-12,1199.5726157452102
2014-01,1188.760483648255
2014-02,1197.3840381009088
2014-03,1202.6293372497537
2014-04,1192.2987199577406
2014-05,1223.6620619261666
2014-06,1275.001552359986
2014-07,1289.477484734999
2014-08,1295.9119230033907
2014-09,1249.411520335798
2014-10,1218.2779053828413
2014-11,1200.15052283817
2014-12,1195.2622628350257
2015-01,1225.9986216296677
2015-02,1259.9245242862155
2015-03,1284.3632473716448
2015-04,1367.3848975057952
2015-05,1383.6130703369217
2015-06,1355.5127506737194
2015-07,1286.2025979703321
2015-08,1202.1527679354397
2015-09,1181.0964270507225
2015-10,1259.897856148736
2015-11,1257.1199848428546
2015-12,1264.9295797047462
2016-01,1173.0213266897792
2016-02,1169.1441262929973
2016-03,1252.2547455898614
2016-04,1284.1483726330712
2016-05,1268.9732183426897
2016-06,1270.1851434536252
2016-07,1325.761053956614
2016-08,1313.2641195762365
2016-09,1359.8470779431511
2016-10,1347.7516891529772
2016-11,1299.386573633322
2016-12,1304.5696319355134
2017-01,1354.1267563068589
2017-02,1405.0719571211432
2017-03,1417.2959867334055
2017-04,1431.863008
2017-05,1473.065426
2017-06,1484.170665
2017-07,1522.721492
2017-08,1549.76524
2017-09,1570.824668
2017-10,1629.784286
2017-11,1679.118567
2017-12,1706.394467
2018-01,1799.629935
2018-02,1752.125391
2018-03,1741.402544
2018-04,1737.4263979515204
2018-05,1743.8856994933744
