Date,ACWI FM ex USA SMALL CAP
2010-11,1000.0
2010-12,1098.6555029838141
2011-01,1094.6752242129887
2011-02,1107.142183846879
2011-03,1117.6153986551744
2011-04,1171.9216365272616
2011-05,1139.2285748538764
2011-06,1115.233141760578
2011-07,1115.4707363267025
2011-08,1019.7589405055093
2011-09,893.6947291681192
2011-10,968.2697102987241
2011-11,913.2364149082795
2011-12,896.8416932565954
2012-01,974.4196013913657
2012-02,1036.9861423600485
2012-03,1024.7969658824586
2012-04,1017.1933214384627
2012-05,905.2864397593202
2012-06,935.1651035696326
2012-07,940.410259232541
2012-08,966.2974422246492
2012-09,1015.5676442643289
2012-10,1016.019601619955
2012-11,1023.8967398118491
2012-12,1065.359925092254
2013-01,1112.0501752793807
2013-02,1117.832765719274
2013-03,1135.815291460343
2013-04,1166.7566699899476
2013-05,1146.454728573754
2013-06,1089.2155582918888
2013-07,1143.2231621495143
2013-08,1133.2232393505842
2013-09,1223.192826374195
2013-10,1261.234436375216
2013-11,1258.950173493135
2013-12,1281.570306062862
2014-01,1258.148636501666
2014-02,1325.181477022675
2014-03,1327.5367641039256
2014-04,1326.7328738629847
2014-05,1348.910580010349
2014-06,1378.615754269284
2014-07,1353.4815377646253
2014-08,1363.4230975392777
2014-09,1287.6977841007254
2014-10,1257.3378585693154
2014-11,1251.7085321316854
2014-12,1236.0303125919138
2015-01,1231.4019398682676
2015-02,1298.013652942244
2015-03,1284.425853690989
2015-04,1360.9898532623638
2015-05,1369.5135192300381
2015-06,1340.0776874032724
2015-07,1315.2646967585388
2015-08,1242.327101057557
2015-09,1207.4446677822277
2015-10,1278.5556612920539
2015-11,1269.258327120279
2015-12,1270.8743200846582
2016-01,1174.0741638961883
2016-02,1178.1688162067326
2016-03,1280.312650585439
2016-04,1316.6345371129426
2016-05,1309.3222574050526
2016-06,1271.8803991180266
2016-07,1342.394771247119
2016-08,1339.3976986646646
2016-09,1373.1471842621468
2016-10,1337.4909700442036
2016-11,1298.6431826854998
2016-12,1326.8082078037462
2017-01,1378.4930325220705
2017-02,1414.7995432064586
2017-03,1444.8942275342317
2017-04,1488.301252
2017-05,1529.596408
2017-06,1536.893522
2017-07,1591.467316
2017-08,1608.899578
2017-09,1643.692306
2017-10,1674.209564
2017-11,1699.387529
2017-12,1751.821085
2018-01,1837.861721
2018-02,1765.848729
2018-03,1746.827339
2018-04,1767.531779449156
2018-05,1749.8843974881675
2018-06,1703.213888987775
2018-07,1715.4137490591315
2018-08,1699.2108741543416
2018-09,1678.5433686457511
2018-10,1516.2572904352332
2018-11,1520.1411618590214
2018-12,1438.647654
2019-01,1550.738900928257
2019-02,1582.9676215908028
2019-03,1585.9733817390436
2019-04,1621.4048511968758
2019-05,1539.7260505676702
2019-06,1607.9911744113517
2019-07,1597.8525427934323
2019-08,1552.274968122256
2019-09,1590.2152338919602
2019-10,1654.246024
2019-11,1682.2040573789945
2019-12,1765.095107518974
2020-01,1710.676616959297
2020-02,1554.153377368199
2020-03,1254.997738538785
2020-04,1407.5014962251573
2020-05,1493.1297225840158
2020-06,1542.162459192595
2020-07,1619.2683901225355
2020-08,1726.1091906568047
2020-09,1705.313313
2020-10,1660.621671237172
2020-11,1889.6034411106614
2020-12,2022.533537091794
2021-01,2019.5272813535782
2021-02,2092.485906528171
2021-03,2136.0090431334124
2021-04,2234.9815557201828
2021-05,2288.463761444452
2021-06,2275.6561441361946
2021-07,2294.3130294849757
2021-08,2348.5512997555425
2021-09,2278.9428724737086
2021-10,2315.846522332584
2021-11,2202.840535124298
2021-12,2296.6079825040356
2022-01,2154.22921870177
2022-02,2127.193311197715
2022-03,2150.4572482394938
2022-04,2013.3191369914423
2022-05,1995.360283478939
2022-06,1776.9558430106474
2022-07,1879.4194887929157
2022-08,1831.6840411782666
2022-09,1630.7839929521974
2022-10,1682.6130757567093
2022-11,1842.674189545805
2022-12,1846.6029599783506
2023-01,1979.0735451784374
2023-02,1928.8919171983143
2023-03,1935.1303579755338
2023-04,1965.1452533314664
2023-05,1912.835954837877
2023-06,1979.2958590538915
2023-07,2081.13984353528
