Date,FM GCC COUNTRIES SMALL CAP
2014-05,1000.0
2014-06,970.929880930893
2014-07,992.4752396794714
2014-08,1019.4360889053065
2014-09,1032.530513080934
2014-10,980.9483719753019
2014-11,948.2720378051063
2014-12,895.929748688645
2015-01,898.9613540055138
2015-02,899.9158688208975
2015-03,863.6356873125222
2015-04,875.6180069211833
2015-05,864.9428960290902
2015-06,855.3131711862555
2015-07,864.4707262200135
2015-08,798.2270997603891
2015-09,797.8302873646148
2015-10,816.5249181428818
2015-11,818.1946966745556
2015-12,800.8679637200032
2016-01,745.6316056410745
2016-02,775.9323487557662
2016-03,823.4130398475273
2016-04,865.1636193070126
2016-05,840.081222438756
2016-06,837.5688587393705
2016-07,836.578052312948
2016-08,832.7387006295814
2016-09,837.8179484207855
2016-10,847.8244574017857
2016-11,892.9237281563707
2016-12,956.4177689928651
2017-01,1077.1831243927556
2017-02,1085.3047616535002
2017-03,1054.0178323630607
2017-04,1036.295747
2017-05,1017.786365
2017-06,1002.349749
2017-07,1035.230971
2017-08,1018.287646
2017-09,1012.521996
2017-10,989.846465
2017-11,964.630637
2017-12,990.79618
2018-01,1002.372087
2018-02,989.928895
2018-03,979.855153
2018-04,973.3173803437024
2018-05,955.790449755656
2018-06,973.5439171141322
2018-07,980.7604191403465
2018-08,967.9226533261824
2018-09,946.2516336739857
2018-10,912.5284918704428
2018-11,927.952323841089
2018-12,922.256331263483
2019-01,911.8689739468158
2019-02,898.4680666771028
2019-03,939.4211092991159
2019-04,975.7029164020737
2019-05,988.3024919305223
2019-06,980.5079454362241
2019-07,1004.0020033637269
2019-08,973.7501448192315
2019-09,957.9991923935644
2019-10,967.5472511108123
2019-11,989.3294358196715
2019-12,990.970146708902
2020-01,998.720519957005
2020-02,973.1266658768325
2020-03,729.9576623527369
2020-04,786.2042541823924
2020-05,780.2033951533909
2020-06,808.7018711486779
2020-07,792.1451127401601
2020-08,795.1715423222566
2020-09,817.2696585507816
2020-10,828.0325892002079
2020-11,850.2490553886406
2020-12,854.6259901889706
2021-01,846.8771977775469
2021-02,835.4345603297915
2021-03,855.8411228200841
2021-04,875.0311724176473
2021-05,897.2584429199705
2021-06,953.6968147675516
2021-07,945.7786787280415
2021-08,951.6372029855105
2021-09,944.9509712457909
2021-10,1002.4421227807691
2021-11,1040.3165752261639
2021-12,1125.7210106328619
2022-01,1115.3834178265845
2022-02,1091.2826432552401
2022-03,1148.5652376088242
2022-04,1168.0340041358374
2022-05,1122.1197079629974
2022-06,1086.5853139953977
2022-07,1190.689179115458
2022-08,1220.626941313589
2022-09,1175.6231284802893
2022-10,1140.6811831293767
2022-11,1199.21099871525
2022-12,1215.649477649895
2023-01,1213.5057054180375
2023-02,1214.922990678167
2023-03,1242.999559535521
2023-04,1319.8890092669828
2023-05,1383.0501618817063
2023-06,1435.6885924299017
2023-07,1540.5674567557069
