Date,EUROPE SMALL CAP
2000-12,100.0
2001-01,105.37808376676378
2001-02,101.30310892557563
2001-03,92.08818665657911
2001-04,97.69607281200523
2001-05,97.59780873749163
2001-06,93.0882423546978
2001-07,91.62419132506979
2001-08,92.36554503576741
2001-09,76.87009107461827
2001-10,81.83217924723634
2001-11,88.52156748139852
2001-12,90.06273573119815
2002-01,88.53104854376255
2002-02,88.83078228957271
2002-03,94.90598543838578
2002-04,97.90402716420384
2002-05,98.74426903587337
2002-06,95.37460797981389
2002-07,85.13679750953887
2002-08,83.80256172450535
2002-09,74.6889656268905
2002-10,77.77686655470562
2002-11,81.17841471617267
2002-12,79.14707681451331
2003-01,76.66623543855108
2003-02,73.61686636552639
2003-03,73.56332951942241
2003-04,84.23754024764024
2003-05,93.75818077509379
2003-06,95.74252019958779
2003-07,100.06943462112133
2003-08,103.59238459559057
2003-09,108.3940552918406
2003-10,117.36874252946899
2003-11,121.85158422291974
2003-12,128.3939353865104
2004-01,136.30188715058475
2004-02,142.42828478802392
2004-03,139.11797957581786
2004-04,136.1254806415924
2004-05,136.53674707470788
2004-06,141.40469017793953
2004-07,135.49679278866648
2004-08,135.17693102138412
2004-09,141.70775414167613
2004-10,147.52770202256556
2004-11,162.50603583861883
2004-12,171.0898190476065
2005-01,173.65115045742837
2005-02,183.14853008440664
2005-03,179.38109807875847
2005-04,173.38040805346293
2005-05,174.76791919772495
2005-06,179.54875070241283
2005-07,189.78181463970407
2005-08,196.27654349442062
2005-09,201.18502017337718
2005-10,189.4649802231294
2005-11,193.90434190425603
2005-12,204.2919805448186
2006-01,225.23586075801182
2006-02,230.7756269603175
2006-03,242.86515788634077
2006-04,259.0937003841703
2006-05,248.14250162206332
2006-06,243.76033930322518
2006-07,241.38032519075057
2006-08,248.09704404296528
2006-09,252.31955906282988
2006-10,266.1662316657827
2006-11,284.3282025813309
2006-12,297.753520486384
2007-01,303.8868820015963
2007-02,305.09726617183367
2007-03,320.3515986047694
2007-04,338.94785444370854
2007-05,343.96400533385173
2007-06,338.74032176597376
2007-07,336.48687291231573
2007-08,322.1763869672112
2007-09,320.9935103698152
2007-10,344.91112270249135
2007-11,315.69188835540206
2007-12,306.31392615450676
2008-01,273.25137850385465
2008-02,287.4804293913142
2008-03,290.5336193336348
2008-04,296.0468516221035
2008-05,300.09803828798755
2008-06,274.83262872315913
2008-07,260.8002152099192
2008-08,253.79647413370114
2008-09,203.25274807023956
2008-10,146.3298955794075
