Date,EM EMEA SMALL CAP
1996-12,199.2172467121531
1997-01,220.15100186946054
1997-02,226.70956044969088
1997-03,226.10094235016558
1997-04,220.72751569781045
1997-05,222.49153903351205
1997-06,226.51205729858737
1997-07,236.74356899802325
1997-08,230.99319097589924
1997-09,238.08371719811015
1997-10,219.04395244701251
1997-11,210.09218851553086
1997-12,209.18954028910682
1998-01,203.75967328696046
1998-02,219.394277465795
1998-03,227.95794343942862
1998-04,247.0135929957864
1998-05,237.27760373635303
1998-06,207.03430432120416
1998-07,203.8424275084703
1998-08,141.5980593090623
1998-09,139.55591740831068
1998-10,150.2037876494041
1998-11,149.62124104198605
1998-12,145.89456931678848
1999-01,144.93611761714945
1999-02,148.35731860794093
1999-03,163.556368212833
1999-04,172.3937356845645
1999-05,171.06651950938524
1999-06,181.47179417743243
1999-07,182.14747798055126
1999-08,174.31760343786465
1999-09,172.58594682985466
1999-10,173.51362839688917
1999-11,190.00498125932347
1999-12,231.3969480275061
2000-01,257.3758084228378
2000-02,261.16778887674025
2000-03,246.50206223567798
2000-04,238.47082261028066
2000-05,223.35659146011585
2000-06,225.48615442469645
2000-07,217.34353939547242
2000-08,226.5560884965732
2000-09,207.8354943468875
2000-10,190.87785123976636
2000-11,170.14342041108335
2000-12,178.57283413044843
2001-01,179.5558467421183
2001-02,159.94043557037486
2001-03,147.95413389087304
2001-04,164.20629131593648
2001-05,162.67905659600322
2001-06,162.0431328867988
2001-07,154.8839210563735
2001-08,155.07280959246793
2001-09,136.25208881360626
2001-10,141.83910595790766
2001-11,152.19708932268213
2001-12,153.56079922092025
2002-01,158.95155255527266
2002-02,151.10861318552864
2002-03,156.78086159635495
2002-04,160.8825085747578
2002-05,164.47486597394226
2002-06,152.66137163800656
2002-07,148.35094165861477
2002-08,147.16735226789297
2002-09,142.10450811075748
2002-10,153.5173102714915
2002-11,175.3509310312817
2002-12,176.53587464398467
2003-01,173.90983462020594
2003-02,177.61458557711995
2003-03,172.21965711160288
2003-04,192.7305469199169
2003-05,205.78650713111614
2003-06,218.11967402498513
2003-07,227.97444803693995
2003-08,244.04748944555004
2003-09,253.5074626900588
2003-10,270.981088319013
2003-11,293.863511663939
2003-12,309.74801379462684
2004-01,307.0568013261947
2004-02,321.86368720319626
2004-03,337.3425802450847
2004-04,310.35772994645157
2004-05,314.679888888866
2004-06,330.7637588555428
2004-07,328.12434270576045
2004-08,327.2781829310263
2004-09,356.0631240385899
2004-10,381.6717571076354
2004-11,429.5481223513007
2004-12,461.83746324673706
2005-01,460.2997866994767
2005-02,491.0506841355608
2005-03,453.1491774300988
2005-04,449.28135247432516
2005-05,445.4877216005951
2005-06,459.78361467468204
2005-07,497.38352305211225
2005-08,524.472503878168
2005-09,561.7540875296332
2005-10,536.6918189519033
2005-11,574.2412986762545
2005-12,620.7918598446465
2006-01,708.7548582459359
2006-02,724.1173131447495
2006-03,734.3054326025748
2006-04,772.5042787525615
2006-05,666.3389336099553
2006-06,605.1670757015336
2006-07,645.9015758425898
2006-08,661.7051511173084
2006-09,654.5347333253588
2006-10,720.8975690638291
2006-11,768.0237820929697
2006-12,809.8023147191411
2007-01,834.1065331697968
2007-02,854.3302544448552
2007-03,906.3086999175238
2007-04,984.7099057773833
2007-05,1000.0
